,file_name,compression_time_seconds
0,1.png,1.8890504749999977
1,10.png,1.7379931700000029
2,11.png,1.5747183880000009
3,12.png,1.5584119680000015
4,13.png,1.4890044720000049
5,14.png,1.5893057759999962
6,15.png,1.4660476180000046
7,16.png,1.5873701900000015
8,17.png,1.5898204639999989
9,18.png,1.3994232289999928
10,19.png,1.5800717340000006
11,2.png,1.5929463180000027
12,20.png,1.413007742000005
13,21.png,1.5798526089999996
14,22.png,1.572962335000014
15,23.png,1.4217372579999932
16,3.png,1.5884817190000007
17,4.png,1.5359895359999882
18,5.png,1.5241756320000093
19,6.png,1.5971371250000033
20,7.png,1.428144132
21,8.png,1.5811997690000084
22,9.png,1.581512446000005
