,file_name,compression_time_seconds,decompression_time_seconds,roundtrip_time_seconds
0,1.png,1.8890504749999977,1.7732897730000161,3.662340248000014
1,10.png,1.7379931700000029,1.8033609260000105,3.5413540960000134
2,11.png,1.5747183880000009,1.7874723380000148,3.3621907260000157
3,12.png,1.5584119680000017,1.8350953540000035,3.393507322000005
4,13.png,1.4890044720000049,1.6416285029999926,3.1306329749999975
5,14.png,1.5893057759999962,1.7865587809999965,3.3758645569999928
6,15.png,1.4660476180000046,1.5529244720000008,3.0189720900000054
7,16.png,1.5873701900000017,1.7826277819999916,3.369997971999993
8,17.png,1.5898204639999989,1.8037935890000085,3.3936140530000074
9,18.png,1.3994232289999928,1.758836778000017,3.1582600070000098
10,19.png,1.5800717340000006,1.8119819359999951,3.3920536699999957
11,2.png,1.5929463180000027,1.6737469029999943,3.266693220999997
12,20.png,1.413007742000005,1.7973995909999871,3.210407332999992
13,21.png,1.5798526089999996,1.602226275000021,3.1820788840000205
14,22.png,1.572962335000014,1.8139662629999975,3.3869285980000114
15,23.png,1.4217372579999932,1.7926044749999903,3.2143417329999835
16,3.png,1.588481719000001,1.7969343610000124,3.385416080000013
17,4.png,1.5359895359999882,1.788172531000015,3.324162067000003
18,5.png,1.5241756320000093,1.529953067000008,3.0541286990000174
19,6.png,1.5971371250000033,1.797306103000011,3.3944432280000143
20,7.png,1.428144132,1.6988035139999909,3.1269476459999908
21,8.png,1.5811997690000084,1.8224613569999804,3.4036611259999887
22,9.png,1.581512446000005,1.7950035380000031,3.376515984000008
