dataset,image_file,target_bpp,quality,actual_bpp
dataset_Kodak24,1.png,0.5,36,0.522979736328125
dataset_Kodak24,2.png,0.5,29,0.47259521484375
dataset_Kodak24,3.png,0.5,25,0.498046875
dataset_Kodak24,4.png,0.5,28,0.5084228515625
dataset_Kodak24,5.png,0.5,38,0.483673095703125
dataset_Kodak24,6.png,0.5,33,0.533721923828125
dataset_Kodak24,7.png,0.5,28,0.505279541015625
dataset_Kodak24,8.png,0.5,37,0.52947998046875
dataset_Kodak24,9.png,0.5,26,0.47900390625
dataset_Kodak24,10.png,0.5,27,0.474273681640625
dataset_Kodak24,11.png,0.5,33,0.510223388671875
dataset_Kodak24,12.png,0.5,27,0.525543212890625
dataset_Kodak24,13.png,0.5,39,0.500244140625
dataset_Kodak24,14.png,0.5,35,0.52239990234375
dataset_Kodak24,15.png,0.5,30,0.5068359375
dataset_Kodak24,16.png,0.5,30,0.487274169921875
dataset_Kodak24,17.png,0.5,31,0.476776123046875
dataset_Kodak24,18.png,0.5,35,0.49072265625
dataset_Kodak24,19.png,0.5,31,0.51116943359375
dataset_Kodak24,20.png,0.5,28,0.497772216796875
dataset_Kodak24,21.png,0.5,33,0.52191162109375
dataset_Kodak24,22.png,0.5,31,0.51629638671875
dataset_Kodak24,23.png,0.5,26,0.49359130859375
